ID;Date;Time;No.;PAR;F1;F2;F3;Fm1;Fm2;Fm3;FvFm1;FvFm2;FvFm3;qc;Site.name;Genotype;Tank;Treatment;mFvFm;sdFvFm;mF;sdF;eventID
Chicken_3065;11/03/2022;21:29:24;1;0;0.324;0.328;0.349;0.7077;0.7639;0.8514;0.542;0.571;0.59;0;Chicken;805;10;+6C;0.567666666666667;0.0241729876790878;0.333666666666667;0.0134288247189891;Aspat_805
Chicken_2529;11/03/2022;21:08:48;1;0;0.1505;0.2864;0.2859;0.1911;0.3705;0.3724;0.212;0.227;0.232;0;Chicken;805;16;+9C;0.223666666666667;0.0104083299973307;0.240933333333333;0.0783179630310527;Aspat_805
Chicken_2573;11/03/2022;21:04:03;1;0;0.0948;0.1065;0.1202;0.1452;0.1652;0.1882;0.347;0.355;0.361;0;Chicken;805;12;+9C;0.354333333333333;0.0070237691685685;0.107166666666667;0.0127131165861615;Aspat_805
Chicken_2649;11/03/2022;21:01:15;1;0;0.0689;0.0782;0.0777;0.0865;0.0963;0.0958;0.203;0.188;0.189;0;Chicken;805;6;+9C;0.193333333333333;0.00838649708360609;0.0749333333333333;0.00523099735550816;Aspat_805
Chicken_2010;11/03/2022;21:44:38;1;0;0.3353;0.3265;0.3524;0.7488;0.7893;0.8578;0.552;0.586;0.589;1;Chicken;806;8;MMM;0.575666666666667;0.0205507501890644;0.338066666666667;0.0131697886594027;Aspat_806
Chicken_2142;11/03/2022;21:48:11;1;0;0.2737;0.2893;0.2923;0.7028;0.7815;0.803;0.611;0.63;0.636;0;Chicken;806;11;MMM;0.625666666666667;0.0130511813003013;0.2851;0.00998599018625594;Aspat_806
Chicken_627;11/03/2022;21:39:35;1;0;0.2473;0.2517;0.2727;0.6667;0.7009;0.7825;0.629;0.641;0.651;0;Chicken;806;4;MMM;0.640333333333333;0.0110151410945722;0.257233333333333;0.0135739947448543;Aspat_806
Chicken_2346;11/03/2022;21:15:38;1;0;0.3079;0.3133;0.326;0.7488;0.7967;0.8529;0.589;0.607;0.618;0;Chicken;806;7;+3C;0.604666666666667;0.0146401275039985;0.315733333333333;0.00929211134959829;Aspat_806
Chicken_2386;11/03/2022;21:12:56;1;0;0.2698;0.2732;0.2947;0.6877;0.7434;0.8206;0.608;0.632;0.641;0;Chicken;806;5;+3C;0.627;0.017058722109232;0.279233333333333;0.0135019751641504;Aspat_806
Chicken_4014;11/03/2022;21:21:41;1;0;0.3049;0.3021;0.2957;0.7542;0.7713;0.7864;0.595730575444179;0.608323609490471;0.623982706002035;2;Chicken;806;9;+3C;0.609345630312228;0.0141537668196355;0.3009;0.00471593044902063;Aspat_806
Chicken_19;11/03/2022;21:34:09;1;0;0.282;0.2869;0.2898;0.6496;0.6999;0.7336;0.566;0.59;0.605;0;Chicken;806;13;+6C;0.587;0.019672315572906;0.286233333333333;0.00394250343479032;Aspat_806
