"","Term","Genotype","Estimate","Std.error","Statistic","p.value","Model","Site.name"
"1965","e","511",35.9263669899531,0.518417894341048,69.3000133331016,1.52765554467397e-242,"W2.3","North Direction"
"1966","e","512",36.0356768783863,0.554663283934191,64.9685636712558,4.50139229670827e-231,"W2.3","North Direction"
"1967","e","513",36.0814378440785,0.551037057006698,65.4791495150569,1.8598687536106e-232,"W2.3","North Direction"
"1968","e","514",35.684178310051,0.370566572260636,96.2962689601496,1.00541310657719e-302,"W2.3","North Direction"
"1969","e","515",35.8519439085043,0.504470471301014,71.0684687173924,4.68598295805359e-247,"W2.3","North Direction"
"1970","e","516",35.9569965065647,0.384683403042842,93.4716606491083,3.50078745510138e-297,"W2.3","North Direction"
"1971","e","517",35.7667243563667,0.402870233232394,88.779764316156,1.2362200379824e-287,"W2.3","North Direction"
"1972","e","518",35.7438612673968,0.428961242479603,83.3265519765376,5.91070783109456e-276,"W2.3","North Direction"
"1973","e","519",35.9018036538454,0.448577083447594,80.0348590657323,1.41783877801902e-268,"W2.3","North Direction"
"1974","e","520",35.9526772694141,0.416333786290035,86.3554159026817,1.59851138712087e-282,"W2.3","North Direction"
"1975","e","521",34.7244498789097,0.822608109467157,42.2126277133377,6.97359371489174e-159,"W2.3","North Direction"
"1976","e","522",35.9935701456875,0.433490486130959,83.0319725513278,2.63992120620018e-275,"W2.3","North Direction"
"1977","e","523",35.9981165011995,0.524135552008919,68.6809287468196,6.11780150946808e-241,"W2.3","North Direction"
"1978","e","524",33.736183036567,0.597018063533788,56.5078095575205,8.78017617879349e-207,"W2.3","North Direction"
"1979","e","525",36.1788210487099,0.428166351564533,84.497114069126,1.61715143266382e-278,"W2.3","North Direction"
"1980","e","526",35.6166290414748,0.336002091821648,106.001212219775,1.06767586066293e-320,"W2.3","North Direction"
"1981","e","527",35.5842901621248,0.360698640632518,98.6537961432969,3.08118906482458e-307,"W2.3","North Direction"
"1982","e","528",35.9745541229277,0.47712592808611,75.3984472552813,1.01449017692753e-257,"W2.3","North Direction"
"1983","e","529",36.0150999941765,0.444278226894577,81.0642921799598,6.54016119953465e-271,"W2.3","North Direction"
"1984","e","530",30.0041181000763,NA,NA,NA,"W2.3","North Direction"
"1985","e","531",36.3989265437068,2.16126555482943,16.8414873694591,5.23147640258571e-50,"W2.3","North Direction"
"1986","e","532",36.0027420903391,0.36409352576134,98.8832251687403,1.13428512170118e-307,"W2.3","North Direction"
"1987","e","533",35.8802755720684,0.546049864697037,65.7087894197642,4.46608090915843e-233,"W2.3","North Direction"
"1988","e","534",36.0571926620073,0.318882303277519,113.073671042282,0,"W2.3","North Direction"
"1989","e","535",33.8617517769835,0.78247141626589,43.2753849828515,8.759451248713e-163,"W2.3","North Direction"
"1990","e","536",35.6425136106547,1.13326146467062,31.4512711512821,5.64669238869681e-116,"W2.3","North Direction"
"1991","e","537",30.2842933586387,23.1953146377701,1.30562114942495,0.192348512206294,"W2.3","North Direction"
"1992","e","538",36.6199952867128,6.36428353478126,5.75398551723567,1.61338232206505e-08,"W2.3","North Direction"
"1993","hill","897",-56.0795881395022,42.1835885122824,-1.32941720032125,0.184460556196747,"W2.3","Pelorus East"
"1994","hill","898",-136.994783686299,47.8714275811728,-2.86172338299302,0.00443251206756561,"W2.3","Pelorus East"
"1995","hill","899",-91.6996790322247,45.7884155666176,-2.00268294714873,0.0458790657061652,"W2.3","Pelorus East"
"1996","hill","900",-65.0321499221248,42.221896693665,-1.54024700486471,0.1242830127761,"W2.3","Pelorus East"
"1997","hill","901",-58.0033942580741,67.5074449335372,-0.859214777202423,0.390731555181791,"W2.3","Pelorus East"
"1998","hill","902",-34.2764824982246,46.9029342993914,-0.73079612203856,0.465327293639385,"W2.3","Pelorus East"
"1999","hill","903",-70.6940974868979,43.2459254139373,-1.63469961181856,0.102890941352052,"W2.3","Pelorus East"
"2000","hill","904",-29.5874443279824,13.8935716190491,-2.12957799040067,0.0338104419622536,"W2.3","Pelorus East"
"2001","hill","905",-30.2092792178607,5.94299290602098,-5.08317605212939,5.68801315865902e-07,"W2.3","Pelorus East"
"2002","hill","906",-26.8924242037647,4.70882455580903,-5.71106947923742,2.17915392750416e-08,"W2.3","Pelorus East"
"2003","hill","907",-28.0807284439039,6.01124879156316,-4.67136354151827,4.08077323442907e-06,"W2.3","Pelorus East"
"2004","hill","908",-53.2008569613128,71.72614170587,-0.741721995579736,0.458686750202181,"W2.3","Pelorus East"
"2005","hill","909",-26.3149207632292,5.17490360071652,-5.08510356783953,5.63399620492331e-07,"W2.3","Pelorus East"
"2006","hill","910",-18.406377537298,4.52034674577388,-4.07189504975615,5.61253822055686e-05,"W2.3","Pelorus East"
"2007","hill","911",-13.0984855032834,1.98779167104159,-6.58946593554238,1.37995859230991e-10,"W2.3","Pelorus East"
"2008","hill","912",-18.2825732108826,3.86984517774432,-4.72436812615312,3.19095938007972e-06,"W2.3","Pelorus East"
"2009","hill","913",-28.4718917660482,6.19039816510209,-4.59936356381021,5.67879624304728e-06,"W2.3","Pelorus East"
"2010","hill","914",-28.564589853542,10.7904944801676,-2.6471993388294,0.00843362090657157,"W2.3","Pelorus East"
"2011","hill","915",-61.9275840307811,67.9480357681487,-0.911396235824823,0.36263011978897,"W2.3","Pelorus East"
"2012","hill","916",-32.7397982631455,19.0595716106589,-1.71776149705464,0.0866063917178796,"W2.3","Pelorus East"
"2013","hill","917",-30.1083462498122,7.92608318649648,-3.79864121298994,0.000167859988223042,"W2.3","Pelorus East"
"2014","hill","918",-25.8561552665669,5.60666580032485,-4.61168120009378,5.36826878237788e-06,"W2.3","Pelorus East"
"2015","hill","919",-69.8670786051079,NA,NA,NA,"W2.3","Pelorus East"
