"","ED50","Std.error","Lower","Upper","Site.name","Term","Genotype","Model"
"e:1757:50",35.9399825075571,0.0540674069485774,35.8337339962555,36.0462310188586,"Heron","ED50","1757","W2.3"
"e:1734:50",36.8912472581341,0.526366848920748,35.8568774362279,37.9256170800403,"Heron","ED50","1734","W2.3"
"e:1740:50",37.3828939721474,0.581136748296611,36.2408951626266,38.5248927816682,"Heron","ED50","1740","W2.3"
"e:1769:50",36.5116872560578,0.394787430123285,35.7358857316558,37.2874887804599,"Heron","ED50","1769","W2.3"
"e:1771:50",36.716287135499,2.21652726610054,32.3605627615427,41.0720115094552,"Heron","ED50","1771","W2.3"
"e:1770:50",36.5845346472352,2.20757225719244,32.2464078689263,40.9226614255442,"Heron","ED50","1770","W2.3"
"e:1768:50",36.4246326066758,0.2855397132848,35.8635150838243,36.9857501295273,"Heron","ED50","1768","W2.3"
"e:969:50",39.1094895860177,1.14919102875512,36.8471236022898,41.3718555697455,"Kelso","ED50","969","W2.3"
"e:964:50",39.9854513134474,2.10539178708021,35.8406515000777,44.130251126817,"Kelso","ED50","964","W2.3"
"e:963:50",39.2214950984735,1.29650470045905,36.6691186365381,41.7738715604088,"Kelso","ED50","963","W2.3"
"e:984:50",37.7879590902136,0.384551364700428,37.0309083434489,38.5450098369783,"Kelso","ED50","984","W2.3"
"e:978:50",39.6982775867513,5.84766298477759,28.186219547631,51.2103356258716,"Kelso","ED50","978","W2.3"
"e:971:50",37.671840994457,0.156031238552904,37.3646685943353,37.9790133945787,"Kelso","ED50","971","W2.3"
"e:976:50",38.7603318538275,0.971003612618227,36.8487562425524,40.6719074651025,"Kelso","ED50","976","W2.3"
"e:975:50",39.0177408581569,13.5100271217708,12.4210958837835,65.6143858325304,"Kelso","ED50","975","W2.3"
"e:951:50",37.8873802524623,0.520274800012367,36.8631362579597,38.911624246965,"Kelso","ED50","951","W2.3"
"e:980:50",37.1328987163984,0.755410325782215,35.6457529050899,38.6200445277069,"Kelso","ED50","980","W2.3"
"e:965:50",39.2359702279604,1.3776836646226,36.523780016594,41.9481604393267,"Kelso","ED50","965","W2.3"
"e:979:50",37.5266014953467,0.472945786816748,36.5955322183783,38.4576707723151,"Kelso","ED50","979","W2.3"
"e:959:50",39.805012491476,2.06421255180171,35.7412805761311,43.868744406821,"Kelso","ED50","959","W2.3"
"e:970:50",38.9098657392252,1.07350632881028,36.7964971687728,41.0232343096776,"Kelso","ED50","970","W2.3"
"e:952:50",38.628822525565,0.894571290165696,36.8677161418136,40.3899289093163,"Kelso","ED50","952","W2.3"
"e:977:50",38.6873092629798,8.20700447922328,22.5305108739338,54.8441076520259,"Kelso","ED50","977","W2.3"
"e:957:50",37.3765580625532,0.204213368716554,36.9745314479639,37.7785846771425,"Kelso","ED50","957","W2.3"
"e:982:50",37.956096647359,0.615403540257438,36.7445765424271,39.1676167522908,"Kelso","ED50","982","W2.3"
"e:955:50",37.012233455682,0.511541819674282,36.0051817270072,38.0192851843567,"Kelso","ED50","955","W2.3"
"e:954:50",37.0326988921625,0.471989658318177,36.1035119067689,37.9618858775561,"Kelso","ED50","954","W2.3"
"e:972:50",37.6776238123927,0.148676222463481,37.3849309355131,37.9703166892723,"Kelso","ED50","972","W2.3"
"e:943:50",37.8449263191593,0.894732856089659,36.0835018670961,39.6063507712225,"Kelso","ED50","943","W2.3"
"e:983:50",38.1669716842401,1.46792972415396,35.2771176988444,41.0568256696358,"Kelso","ED50","983","W2.3"
"e:966:50",41.8199924577101,4.83329180651125,32.304886005542,51.3350989098783,"Kelso","ED50","966","W2.3"
